# P500 expected summary — written by aggregate_p500.py --write-expected
# Regenerate after an intentional re-run: aggregate_p500.py <tsv> --write-expected <path>
# --check re-derives from the raw TSV and diffs against this file; any drift exits 1.
COUNTS	groups=49	rows_raw=185	kernels=129	variants=56	pairs=70	unpaired=1	multi=9	notes=70
KERNEL	30	PaperNativePluginLoadingAllocation	(I[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;I[J)I	oldDefaultCapacitySetupSummary	old	116.2000	116.2000	116.2000	OK s0
KERNEL	30	PaperNativePluginLoadingAllocation	(I[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;I[J)I	oldEagerMissingSetSummary	old	115.1000	115.1000	115.1000	OK s0
KERNEL	30	PaperNativePluginLoadingAllocation	(I[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;I[J)I	oldEagerValidateSummary	old	116.1000	116.1000	116.1000	OK s0
KERNEL	31	PaperNativePluginMetaDependency	(I[Ljava/lang/Object;[Z[Z[I[J)I	cachedSummary	alt	117.8000	117.8000	117.8000	OK s0
KERNEL	31	PaperNativePluginMetaDependency	(I[Ljava/lang/Object;[Z[Z[I[J)I	newLoopSummary	alt	120.7000	120.7000	120.7000	OK s0
KERNEL	31	PaperNativePluginMetaDependency	(I[Ljava/lang/Object;[Z[Z[I[J)I	oldStreamSummary	old	121.0000	121.0000	121.0000	OK s0
KERNEL	32	PaperNativePluginNameLog	(I[Ljava/lang/Object;[Ljava/lang/Object;[J)I	newArrayListSortSummary	alt	109.0000	109.0000	109.0000	OK s0
KERNEL	32	PaperNativePluginNameLog	(I[Ljava/lang/Object;[Ljava/lang/Object;[J)I	oldTreesetSummary	old	115.5000	115.5000	115.5000	OK s0
KERNEL	33	PaperNativePluginStartupRollup	(I[Ljava/lang/Object;Ljava/lang/String;[Ljava/lang/Object;[Ljava/lang/Object;[J)I	newSummary	alt	95.3000	95.3000	95.3000	OK s0
KERNEL	33	PaperNativePluginStartupRollup	(I[Ljava/lang/Object;Ljava/lang/String;[Ljava/lang/Object;[Ljava/lang/Object;[J)I	oldSummary	old	96.1000	96.1000	96.1000	OK s0
KERNEL	34	PaperNativeProtoChunkHeightmap	(I)J	newCachedContainsSummary	alt	2063.4000	2063.4000	2063.4000	OK s0
KERNEL	34	PaperNativeProtoChunkHeightmap	(I)J	oldEnumSetForeachSummary	old	1162.3000	1162.3000	1162.3000	OK s0
KERNEL	35	PaperNativeRangeChoice	([D[I[I[II[J)I	oldFillArraySummary	old	81.4000	81.4000	81.4000	OK s0
KERNEL	35	PaperNativeRangeChoice	([D[I[I[II[J)I	optimizedFillArraySummary	alt	81.6000	81.6000	81.6000	OK s0
KERNEL	36	PaperNativeRemapperIndexCleanup	(I[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[J)I	newLazyCleanupSummary	alt	91.6000	91.6000	91.6000	OK s0
KERNEL	36	PaperNativeRemapperIndexCleanup	(I[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;[J)I	oldEagerCleanupSummary	old	91.3000	91.3000	91.3000	OK s0
KERNEL	37	PaperNativeRemapperSkipHashes	(ILjava/lang/String;[J)I	newLoopSummary	alt	32984.6000	32984.6000	32984.6000	OK s0
KERNEL	37	PaperNativeRemapperSkipHashes	(ILjava/lang/String;[J)I	oldStreamSummary	old	34485.6000	34485.6000	34485.6000	OK s0
KERNEL	38	PaperNativeServerEntityDeltaIdentity	(I[D[D[D[D[D[D[J)I	oldDistanceSummary	old	2208.5000	2208.5000	2208.5000	OK s0
KERNEL	39	PaperNativeSpigotLoadOrderDependency	(I[Ljava/lang/Object;[J)I	newLoadAfterBuildSummary	alt	88.0000	88.0000	88.0000	OK s0
KERNEL	39	PaperNativeSpigotLoadOrderDependency	(I[Ljava/lang/Object;[J)I	oldLoadAfterBuildSummary	old	87.7000	87.7000	87.7000	OK s0
KERNEL	40	PaperNativeSpigotLoadOrderDependency	(I[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;I[J)I	newRemovedCountSummary	alt	88.6000	88.6000	88.6000	OK s0
KERNEL	40	PaperNativeSpigotLoadOrderDependency	(I[Ljava/lang/Object;[Ljava/lang/Object;[Ljava/lang/Object;I[J)I	oldRemovedCountSummary	old	89.0000	89.0000	89.0000	OK s0
KERNEL	41	PaperNativeSpringFeatureMutablePos	(I[I[I[I[Z[I[I[J)I	mutableBatchSummary	alt	2878.5000	2878.5000	2878.5000	OK s0
KERNEL	41	PaperNativeSpringFeatureMutablePos	(I[I[I[I[Z[I[I[J)I	oldBatchSummary	old	2874.6000	2874.6000	2874.6000	OK s0
KERNEL	42	PaperNativeStaticCacheGet	(IIIII[I[J)I	newBatchSummary	alt	34.6000	34.6000	34.6000	OK s0
KERNEL	42	PaperNativeStaticCacheGet	(IIIII[I[J)I	oldBatchSummary	old	34.7000	34.7000	34.7000	OK s0
KERNEL	43	PaperNativeSurfaceRulesTestRuleState	(II[J)I	newStateRuleSummary	alt	1156.0000	1156.0000	1156.0000	OK s0
KERNEL	43	PaperNativeSurfaceRulesTestRuleState	(II[J)I	oldStateRuleSummary	old	1104.9000	1104.9000	1104.9000	OK s0
KERNEL	44	PaperNativeTopographicGraphSortCapacity	(I[I[I[I[J)I	newPresizedSummary	alt	349.0000	349.0000	349.0000	OK s0
KERNEL	44	PaperNativeTopographicGraphSortCapacity	(I[I[I[I[J)I	oldDefaultCapacitySummary	old	348.1000	348.1000	348.1000	OK s0
KERNEL	45	PaperNativeWaypointDistanceGuard	(I[D[D[D[D[D[D[D[J)I	guardedAtOrBeyondRangeSummary	alt	9478.6000	9478.6000	9478.6000	OK s0
KERNEL	45	PaperNativeWaypointDistanceGuard	(I[D[D[D[D[D[D[D[J)I	oldAtOrBeyondRangeSummary	old	9622.8000	9622.8000	9622.8000	OK s0
KERNEL	46	PaperNativeWaypointDistanceGuard	(I[D[D[D[D[D[D[J)I	guardedReallyFarSummary	alt	8488.7000	8488.7000	8488.7000	OK s0
KERNEL	46	PaperNativeWaypointDistanceGuard	(I[D[D[D[D[D[D[J)I	oldReallyFarSummary	old	8394.2000	8394.2000	8394.2000	OK s0
KERNEL	47	PaperNativeWaypointHotPath	(I)D	cachedChunkVisibleValue	alt	3053.8000	3053.8000	3053.8000	OK s0
KERNEL	47	PaperNativeWaypointHotPath	(I)D	directAzimuthValue	alt	2073.7000	2073.7000	2073.7000	OK s0
KERNEL	47	PaperNativeWaypointHotPath	(I)D	guardedAtOrBeyondRangeValue	alt	1177.4000	1177.4000	1177.4000	OK s0
KERNEL	47	PaperNativeWaypointHotPath	(I)D	guardedReallyFarValue	alt	1004.9000	1004.9000	1004.9000	OK s0
KERNEL	47	PaperNativeWaypointHotPath	(I)D	oldAtOrBeyondRangeValue	old	1156.3000	1156.3000	1156.3000	OK s0
KERNEL	47	PaperNativeWaypointHotPath	(I)D	oldAzimuthValue	old	2084.9000	2084.9000	2084.9000	OK s0
KERNEL	47	PaperNativeWaypointHotPath	(I)D	oldChunkVisibleValue	old	3407.1000	3407.1000	3407.1000	OK s0
KERNEL	47	PaperNativeWaypointHotPath	(I)D	oldReallyFarValue	old	938.4000	938.4000	938.4000	OK s0
KERNEL	47	PaperNativeWaypointHotPath	(I)D	oldWaypointManagerValue	old	100040.1000	100040.1000	100040.1000	OK s0
KERNEL	47	PaperNativeWaypointHotPath	(I)D	optimizedWaypointManagerValue	alt	93306.0000	93306.0000	93306.0000	OK s0
KERNEL	48	PaperNativeXoroshiroPositionalDirect	(I[I[I[IJJ[J)I	directDoubleBatchSummary	alt	1549.7000	1549.7000	1549.7000	OK s0
KERNEL	48	PaperNativeXoroshiroPositionalDirect	(I[I[I[IJJ[J)I	directFloatBatchSummary	alt	1556.0000	1556.0000	1556.0000	OK s0
KERNEL	48	PaperNativeXoroshiroPositionalDirect	(I[I[I[IJJ[J)I	oldDoubleBatchSummary	old	1548.2000	1548.2000	1548.2000	OK s0
KERNEL	48	PaperNativeXoroshiroPositionalDirect	(I[I[I[IJJ[J)I	oldFloatBatchSummary	old	1556.4000	1556.4000	1556.4000	OK s0
VARIANT	8	PaperNativeDensityAp2Fill	oldFlatSummary#variant2	16805.4000	12965.9000
VARIANT	8	PaperNativeDensityAp2Fill	oldNestedSummary#variant2	26994.5000	22184.5000
VARIANT	8	PaperNativeDensityAp2Fill	scratchFlatSummary#variant2	14290.3000	11265.7000
VARIANT	8	PaperNativeDensityAp2Fill	scratchNestedSummary#variant2	24448.8000	19689.5000
VARIANT	9	PaperNativeDensityAp2MinMaxFill	newSummary#variant2	151.4000	120.2000
VARIANT	9	PaperNativeDensityAp2MinMaxFill	oldSummary#variant2	155.4000	119.8000
VARIANT	10	PaperNativeDensitySplineContext	newDirectSummary#variant2	2391.4000	1870.9000
VARIANT	10	PaperNativeDensitySplineContext	oldWrapperSummary#variant2	2400.7000	1864.3000
VARIANT	11	PaperNativeDensityVisitorHook	hookedUnwrappingSummary#variant2	845.7000	678.6000
VARIANT	11	PaperNativeDensityVisitorHook	oldUnwrappingSummary#variant2	841.1000	672.4000
