Java_PaperNativeClimateRTree_freeTreeHandle	PaperNativeClimateRTree	freeTreeHandle	-	bench/batch/java/BatchRolloutBench.java | bench/batch/java/D1StagingProbe.java | bench/batch/java/net/minecraft/world/level/biome/PaperNativeClimateRTree.java | bench/batch/run_batch_rollout.sh | bench/p500/java/BatchSurfaceCalib.java | bench/p500/java/net/minecraft/world/level/biome/PaperNativeClimateRTree.java | bench/p500/results/BATCH_SURFACE_CALIBRATION.md | bench/p500/results/BATCH_SURFACE_CALIBRATION_RAW.tsv
Java_PaperNativeClimateRTree_searchBoundedBatch	PaperNativeClimateRTree	searchBoundedBatch	-	bench/batch/java/BatchRolloutBench.java | bench/batch/java/D1StagingProbe.java | bench/batch/java/net/minecraft/world/level/biome/PaperNativeClimateRTree.java | bench/batch/run_batch_rollout.sh | bench/p500/java/BatchSurfaceCalib.java | bench/p500/java/net/minecraft/world/level/biome/PaperNativeClimateRTree.java | bench/p500/results/BATCH_SURFACE_CALIBRATION.md | bench/p500/results/BATCH_SURFACE_CALIBRATION_RAW.tsv
Java_PaperNativeClimateRTree_searchBoundedOnePacked	PaperNativeClimateRTree	searchBoundedOnePacked	-	bench/batch/java/BatchRolloutBench.java | bench/batch/java/D1StagingProbe.java | bench/batch/java/net/minecraft/world/level/biome/PaperNativeClimateRTree.java | bench/batch/run_batch_rollout.sh | bench/p500/java/BatchSurfaceCalib.java | bench/p500/java/net/minecraft/world/level/biome/PaperNativeClimateRTree.java | bench/p500/results/BATCH_SURFACE_CALIBRATION.md | bench/p500/results/BATCH_SURFACE_CALIBRATION_RAW.tsv
Java_PaperNativeClimateRTree_searchCurrentBatch	PaperNativeClimateRTree	searchCurrentBatch	-	bench/batch/java/BatchRolloutBench.java | bench/batch/java/D1StagingProbe.java | bench/batch/java/net/minecraft/world/level/biome/PaperNativeClimateRTree.java | bench/batch/run_batch_rollout.sh | bench/p500/java/BatchSurfaceCalib.java | bench/p500/java/net/minecraft/world/level/biome/PaperNativeClimateRTree.java | bench/p500/results/BATCH_SURFACE_CALIBRATION.md | bench/p500/results/BATCH_SURFACE_CALIBRATION_RAW.tsv
Java_PaperNativeClimateRTree_searchCurrentOnePacked	PaperNativeClimateRTree	searchCurrentOnePacked	-	bench/batch/java/BatchRolloutBench.java | bench/batch/java/D1StagingProbe.java | bench/batch/java/net/minecraft/world/level/biome/PaperNativeClimateRTree.java | bench/batch/run_batch_rollout.sh | bench/p500/java/BatchSurfaceCalib.java | bench/p500/java/net/minecraft/world/level/biome/PaperNativeClimateRTree.java | bench/p500/results/BATCH_SURFACE_CALIBRATION.md | bench/p500/results/BATCH_SURFACE_CALIBRATION_RAW.tsv
Java_PaperNativeClimate_nodeBestMatchBatch	PaperNativeClimate	nodeBestMatchBatch	-	bench/batch/java/BatchRolloutBench.java | bench/batch/java/D1StagingProbe.java | bench/batch/java/net/minecraft/world/level/biome/PaperNativeClimateRTree.java | bench/batch/run_batch_rollout.sh | bench/p500/java/BatchSurfaceCalib.java | bench/p500/java/net/minecraft/world/level/biome/PaperNativeClimate.java | bench/p500/java/net/minecraft/world/level/biome/PaperNativeClimateRTree.java | bench/p500/jni_floor/FloorBench.java | bench/p500/jni_floor/FloorGroup.java | bench/p500/jni_floor/FloorRun.sh | bench/p500/jni_floor/floor_report.tsv | bench/p500/results/BATCH_SURFACE_CALIBRATION.md | bench/p500/results/BATCH_SURFACE_CALIBRATION_RAW.tsv | bench/p500/results/P500_FLOORSANITY_POSTWIPE_REPORT_2026-09-09.md | bench/p500/results/P500_FULLMATRIX_POSTWIPE_RAW_2026-09-09.tsv | bench/p500/results/P500_REPORT.md | bench/p500/results/P500_REPORT_smoke_S7-7.md | bench/p500/results/P500_REPORT_v2.md | bench/p500/results/baseline.tsv | bench/p500/results/p500_expected_summary.tsv | bench/p500/results/p500_raw.tsv | bench/p500/results/p500_raw_fullrun_2026-09-07.tsv | bench/p500/results/p500_raw_fullrun_2026-09-08_s7-14.tsv | bench/p500/results/p500_raw_fullrun_2026-09-08_s7-15.tsv | docs/BATCH_ADOPTION_MATRIX.md | docs/OPTIMIZATION_ROADMAP.md
Java_PaperNativeClimate_nodeBestMatchUniqueBatch	PaperNativeClimate	nodeBestMatchUniqueBatch	-	bench/batch/java/BatchRolloutBench.java | bench/batch/java/D1StagingProbe.java | bench/batch/java/net/minecraft/world/level/biome/PaperNativeClimateRTree.java | bench/batch/run_batch_rollout.sh | bench/p500/java/BatchSurfaceCalib.java | bench/p500/java/net/minecraft/world/level/biome/PaperNativeClimate.java | bench/p500/java/net/minecraft/world/level/biome/PaperNativeClimateRTree.java | bench/p500/jni_floor/FloorBench.java | bench/p500/jni_floor/FloorGroup.java | bench/p500/jni_floor/FloorRun.sh | bench/p500/jni_floor/floor_report.tsv | bench/p500/results/BATCH_SURFACE_CALIBRATION.md | bench/p500/results/BATCH_SURFACE_CALIBRATION_RAW.tsv | bench/p500/results/P500_FLOORSANITY_POSTWIPE_REPORT_2026-09-09.md | bench/p500/results/P500_FULLMATRIX_POSTWIPE_RAW_2026-09-09.tsv | bench/p500/results/P500_REPORT.md | bench/p500/results/P500_REPORT_smoke_S7-7.md | bench/p500/results/P500_REPORT_v2.md | bench/p500/results/baseline.tsv | bench/p500/results/p500_expected_summary.tsv | bench/p500/results/p500_raw.tsv | bench/p500/results/p500_raw_fullrun_2026-09-07.tsv | bench/p500/results/p500_raw_fullrun_2026-09-08_s7-14.tsv | bench/p500/results/p500_raw_fullrun_2026-09-08_s7-15.tsv | docs/BATCH_ADOPTION_MATRIX.md | docs/OPTIMIZATION_ROADMAP.md
Java_PaperNativeClimate_nodeDistanceSumBatch	PaperNativeClimate	nodeDistanceSumBatch	-	bench/batch/java/BatchRolloutBench.java | bench/batch/java/D1StagingProbe.java | bench/batch/java/net/minecraft/world/level/biome/PaperNativeClimateRTree.java | bench/batch/run_batch_rollout.sh | bench/p500/java/BatchSurfaceCalib.java | bench/p500/java/net/minecraft/world/level/biome/PaperNativeClimate.java | bench/p500/java/net/minecraft/world/level/biome/PaperNativeClimateRTree.java | bench/p500/jni_floor/FloorBench.java | bench/p500/jni_floor/FloorGroup.java | bench/p500/jni_floor/FloorRun.sh | bench/p500/jni_floor/floor_report.tsv | bench/p500/results/BATCH_SURFACE_CALIBRATION.md | bench/p500/results/BATCH_SURFACE_CALIBRATION_RAW.tsv | bench/p500/results/P500_FLOORSANITY_POSTWIPE_REPORT_2026-09-09.md | bench/p500/results/P500_FULLMATRIX_POSTWIPE_RAW_2026-09-09.tsv | bench/p500/results/P500_REPORT.md | bench/p500/results/P500_REPORT_smoke_S7-7.md | bench/p500/results/P500_REPORT_v2.md | bench/p500/results/baseline.tsv | bench/p500/results/p500_expected_summary.tsv | bench/p500/results/p500_raw.tsv | bench/p500/results/p500_raw_fullrun_2026-09-07.tsv | bench/p500/results/p500_raw_fullrun_2026-09-08_s7-14.tsv | bench/p500/results/p500_raw_fullrun_2026-09-08_s7-15.tsv | docs/BATCH_ADOPTION_MATRIX.md | docs/OPTIMIZATION_ROADMAP.md
Java_PaperNativeCompressionThresholdShape_thresholdSummary	PaperNativeCompressionThresholdShape	thresholdSummary	-	
Java_PaperNativeCraftPlayerCanSee_emptyCandidateSummary	PaperNativeCraftPlayerCanSee	emptyCandidateSummary	-	
